date,expiry,strike,opt_type,oi,chg_oi,volume,close
2026-06-05,2026-06-30,1100.0,CE,17400,0,0,327.0
2026-06-05,2026-06-30,1100.0,PE,474000,28200,2091,2.15
2026-06-05,2026-06-30,1110.0,PE,4800,0,0,5.05
2026-06-05,2026-06-30,1120.0,CE,50400,0,0,339.25
2026-06-05,2026-06-30,1130.0,PE,16200,0,0,5.0
2026-06-05,2026-06-30,1140.0,PE,15600,0,1,3.0
2026-06-05,2026-06-30,1150.0,PE,10800,0,0,3.55
2026-06-05,2026-06-30,1160.0,PE,31800,0,1,3.2
2026-06-05,2026-06-30,1170.0,PE,1200,0,0,16.45
2026-06-05,2026-06-30,1180.0,PE,12600,-600,1,3.2
2026-06-05,2026-06-30,1200.0,CE,13200,1800,3,335.0
2026-06-05,2026-06-30,1200.0,PE,266400,27600,199,3.5
2026-06-05,2026-06-30,1220.0,CE,600,0,0,234.9
2026-06-05,2026-06-30,1220.0,PE,17400,2400,62,3.7
2026-06-05,2026-06-30,1230.0,PE,5400,-2400,16,5.05
2026-06-05,2026-06-30,1240.0,PE,8400,1800,50,4.8
2026-06-05,2026-06-30,1250.0,CE,600,0,0,130.15
2026-06-05,2026-06-30,1250.0,PE,147000,7800,168,4.8
2026-06-05,2026-06-30,1260.0,PE,17400,-10800,49,5.1
2026-06-05,2026-06-30,1270.0,PE,3000,0,0,13.15
2026-06-05,2026-06-30,1280.0,PE,21600,1200,56,4.75
2026-06-05,2026-06-30,1290.0,PE,11400,-9600,70,6.95
2026-06-05,2026-06-30,1300.0,CE,273000,-12000,97,238.8
2026-06-05,2026-06-30,1300.0,PE,424800,-13200,802,7.55
2026-06-05,2026-06-30,1310.0,CE,600,0,0,100.85
2026-06-05,2026-06-30,1320.0,CE,1800,0,0,119.35
2026-06-05,2026-06-30,1320.0,PE,52800,-1800,251,9.15
2026-06-05,2026-06-30,1330.0,CE,0,0,0,93.1
2026-06-05,2026-06-30,1330.0,PE,223800,4800,157,10.1
2026-06-05,2026-06-30,1340.0,CE,4200,0,0,126.45
2026-06-05,2026-06-30,1340.0,PE,24000,-9000,117,11.2
2026-06-05,2026-06-30,1350.0,CE,155400,-7200,19,193.05
2026-06-05,2026-06-30,1350.0,PE,99000,27600,321,12.2
2026-06-05,2026-06-30,1360.0,CE,25200,600,4,152.15
2026-06-05,2026-06-30,1360.0,PE,93000,2400,172,13.6
2026-06-05,2026-06-30,1370.0,CE,13800,0,0,147.0
2026-06-05,2026-06-30,1370.0,PE,10800,600,54,14.8
2026-06-05,2026-06-30,1380.0,CE,66600,1800,16,166.15
2026-06-05,2026-06-30,1380.0,PE,112800,-14400,225,16.7
2026-06-05,2026-06-30,1390.0,CE,48000,-2400,6,127.7
2026-06-05,2026-06-30,1390.0,PE,101400,18600,91,18.5
2026-06-05,2026-06-30,1400.0,CE,491400,-181200,1386,152.4
2026-06-05,2026-06-30,1400.0,PE,776400,70800,1717,20.25
2026-06-05,2026-06-30,1410.0,CE,29400,-3000,37,145.0
2026-06-05,2026-06-30,1410.0,PE,90000,-5400,127,22.35
2026-06-05,2026-06-30,1420.0,CE,160800,-30000,179,136.65
2026-06-05,2026-06-30,1420.0,PE,136800,-40200,569,24.7
2026-06-05,2026-06-30,1430.0,CE,78600,-10800,161,128.75
2026-06-05,2026-06-30,1430.0,PE,69000,0,241,27.3
2026-06-05,2026-06-30,1440.0,CE,119400,-28200,850,121.75
2026-06-05,2026-06-30,1440.0,PE,102600,13800,826,30.05
2026-06-05,2026-06-30,1450.0,CE,460800,-132000,2634,115.45
2026-06-05,2026-06-30,1450.0,PE,331800,-54000,1545,33.2
2026-06-05,2026-06-30,1460.0,CE,153600,-3000,5593,108.35
2026-06-05,2026-06-30,1460.0,PE,142200,25200,1146,36.55
2026-06-05,2026-06-30,1470.0,CE,228000,57000,2029,102.1
2026-06-05,2026-06-30,1470.0,PE,124800,22200,671,40.1
2026-06-05,2026-06-30,1480.0,CE,198600,22200,2188,94.75
2026-06-05,2026-06-30,1480.0,PE,229800,112800,1136,43.9
2026-06-05,2026-06-30,1490.0,CE,80400,-8400,975,89.9
2026-06-05,2026-06-30,1490.0,PE,117600,41400,694,47.9
2026-06-05,2026-06-30,1500.0,CE,1249800,-359400,9094,84.45
2026-06-05,2026-06-30,1500.0,PE,574800,96600,1732,52.3
2026-06-05,2026-06-30,1510.0,CE,98400,-35400,987,78.6
2026-06-05,2026-06-30,1510.0,PE,75000,21600,499,57.2
2026-06-05,2026-06-30,1520.0,CE,259200,72600,2354,73.85
2026-06-05,2026-06-30,1520.0,PE,70800,42600,429,61.6
2026-06-05,2026-06-30,1530.0,CE,171000,48600,986,69.05
2026-06-05,2026-06-30,1530.0,PE,55200,30600,173,66.5
2026-06-05,2026-06-30,1540.0,CE,178800,89400,1706,64.55
2026-06-05,2026-06-30,1540.0,PE,27000,0,0,133.55
2026-06-05,2026-06-30,1550.0,CE,237600,68400,1831,59.8
2026-06-05,2026-06-30,1550.0,PE,53400,-4200,136,77.25
2026-06-05,2026-06-30,1560.0,CE,72000,15600,440,55.2
2026-06-05,2026-06-30,1560.0,PE,0,0,0,373.55
2026-06-05,2026-06-30,1570.0,CE,40200,-5400,218,51.8
2026-06-05,2026-06-30,1570.0,PE,0,0,0,272.8
2026-06-05,2026-06-30,1580.0,CE,299400,20400,880,47.9
2026-06-05,2026-06-30,1580.0,PE,600,0,0,123.7
2026-06-05,2026-06-30,1590.0,CE,16800,10800,102,44.1
2026-06-05,2026-06-30,1590.0,PE,0,0,0,288.6
2026-06-05,2026-06-30,1600.0,CE,944400,202800,6238,41.15
2026-06-05,2026-06-30,1600.0,PE,44400,1200,50,109.3
2026-06-05,2026-06-30,1610.0,CE,64800,4200,212,37.95
2026-06-05,2026-06-30,1610.0,PE,0,0,0,287.75
2026-06-05,2026-06-30,1620.0,CE,136800,30600,421,35.2
2026-06-05,2026-06-30,1620.0,PE,600,600,2,122.6
2026-06-05,2026-06-30,1630.0,CE,82800,-33600,373,32.5
2026-06-05,2026-06-30,1630.0,PE,0,0,0,293.95
