date,expiry,strike,opt_type,oi,chg_oi,volume,close
2026-06-05,2026-06-30,1440.0,CE,4275,0,0,380.0
2026-06-05,2026-06-30,1440.0,PE,34200,-1900,14,1.2
2026-06-05,2026-06-30,1480.0,CE,475,0,0,325.0
2026-06-05,2026-06-30,1480.0,PE,56050,-11875,99,1.5
2026-06-05,2026-06-30,1500.0,PE,112575,-2375,93,1.65
2026-06-05,2026-06-30,1520.0,CE,5225,0,0,296.0
2026-06-05,2026-06-30,1520.0,PE,9975,-2850,13,1.85
2026-06-05,2026-06-30,1540.0,CE,4750,0,0,279.75
2026-06-05,2026-06-30,1540.0,PE,26125,0,6,2.0
2026-06-05,2026-06-30,1560.0,CE,3325,0,0,275.1
2026-06-05,2026-06-30,1560.0,PE,47025,0,0,2.4
2026-06-05,2026-06-30,1580.0,CE,3800,0,0,225.0
2026-06-05,2026-06-30,1580.0,PE,14725,475,5,2.25
2026-06-05,2026-06-30,1600.0,CE,160550,0,0,211.3
2026-06-05,2026-06-30,1600.0,PE,276450,8075,178,3.3
2026-06-05,2026-06-30,1620.0,CE,6650,0,0,194.0
2026-06-05,2026-06-30,1620.0,PE,39900,4275,23,3.95
2026-06-05,2026-06-30,1640.0,CE,36575,0,0,161.6
2026-06-05,2026-06-30,1640.0,PE,141075,-6650,73,4.9
2026-06-05,2026-06-30,1660.0,CE,23275,0,0,166.05
2026-06-05,2026-06-30,1660.0,PE,92150,23750,154,6.0
2026-06-05,2026-06-30,1680.0,CE,16625,0,0,148.05
2026-06-05,2026-06-30,1680.0,PE,115900,30875,238,7.7
2026-06-05,2026-06-30,1700.0,CE,345800,0,95,138.0
2026-06-05,2026-06-30,1700.0,PE,478325,67450,1304,9.9
2026-06-05,2026-06-30,1720.0,CE,6175,-475,2,115.5
2026-06-05,2026-06-30,1720.0,PE,94525,7125,456,12.9
2026-06-05,2026-06-30,1740.0,CE,42275,1425,20,104.7
2026-06-05,2026-06-30,1740.0,PE,200450,19475,804,16.7
2026-06-05,2026-06-30,1760.0,CE,147725,-8075,116,88.6
2026-06-05,2026-06-30,1760.0,PE,222300,6650,1301,21.4
2026-06-05,2026-06-30,1780.0,CE,135375,-10450,355,75.95
2026-06-05,2026-06-30,1780.0,PE,378575,95950,1114,27.7
2026-06-05,2026-06-30,1800.0,CE,934325,-114000,5333,63.55
