date,expiry,strike,opt_type,oi,chg_oi,volume,close
2026-06-11,2026-06-30,180.0,CE,10650,-3550,2,41.5
2026-06-11,2026-06-30,180.0,PE,582200,-223650,143,0.56
2026-06-11,2026-06-30,185.0,CE,3550,0,1,37.0
2026-06-11,2026-06-30,190.0,CE,10650,0,0,35.2
2026-06-11,2026-06-30,190.0,PE,433100,99400,188,1.23
2026-06-11,2026-06-30,195.0,CE,10650,0,0,38.0
2026-06-11,2026-06-30,195.0,PE,301750,-28400,71,1.82
2026-06-11,2026-06-30,200.0,CE,248500,21300,22,19.52
2026-06-11,2026-06-30,200.0,PE,2996200,383400,511,2.68
2026-06-11,2026-06-30,202.5,PE,28400,0,0,1.21
2026-06-11,2026-06-30,205.0,CE,3550,0,0,27.25
2026-06-11,2026-06-30,205.0,PE,1018850,323050,306,3.95
2026-06-11,2026-06-30,207.5,CE,0,0,0,28.96
2026-06-11,2026-06-30,207.5,PE,0,0,0,11.05
2026-06-11,2026-06-30,210.0,CE,710000,28400,77,12.21
2026-06-11,2026-06-30,210.0,PE,3411550,-454400,722,5.61
2026-06-11,2026-06-30,212.5,CE,0,0,0,24.95
2026-06-11,2026-06-30,212.5,PE,142000,14200,37,6.58
2026-06-11,2026-06-30,215.0,CE,266250,205900,192,9.43
2026-06-11,2026-06-30,215.0,PE,933650,230750,380,7.74
2026-06-11,2026-06-30,217.5,CE,188150,134900,125,8.16
2026-06-11,2026-06-30,217.5,PE,298200,56800,142,8.97
2026-06-11,2026-06-30,220.0,CE,6684650,3624550,2946,7.07
2026-06-11,2026-06-30,220.0,PE,5339200,1285100,1078,10.15
2026-06-11,2026-06-30,222.5,CE,166850,35500,194,6.14
2026-06-11,2026-06-30,222.5,PE,152650,-24850,89,11.8
2026-06-11,2026-06-30,225.0,CE,1540700,415350,861,5.26
2026-06-11,2026-06-30,225.0,PE,1047250,-85200,95,13.48
2026-06-11,2026-06-30,227.5,CE,553800,42600,112,4.46
2026-06-11,2026-06-30,227.5,PE,766800,0,8,14.94
2026-06-11,2026-06-30,230.0,CE,5143950,695800,1848,3.85
2026-06-11,2026-06-30,230.0,PE,2900350,-1182150,558,17.04
2026-06-11,2026-06-30,232.5,CE,624800,7100,155,3.31
2026-06-11,2026-06-30,232.5,PE,447300,-17750,18,19.03
2026-06-11,2026-06-30,235.0,CE,2708650,-78100,710,2.88
2026-06-11,2026-06-30,235.0,PE,951400,-7100,26,21.28
2026-06-11,2026-06-30,237.5,CE,624800,-49700,215,2.46
2026-06-11,2026-06-30,237.5,PE,124250,-3550,1,22.57
2026-06-11,2026-06-30,240.0,CE,7082250,120700,1136,2.16
2026-06-11,2026-06-30,240.0,PE,1735950,-17750,12,25.2
2026-06-11,2026-06-30,242.5,CE,440200,-3550,141,1.89
2026-06-11,2026-06-30,242.5,PE,454400,0,1,23.55
2026-06-11,2026-06-30,245.0,CE,2499200,7100,343,1.66
2026-06-11,2026-06-30,245.0,PE,681600,-3550,6,29.5
2026-06-11,2026-06-30,247.5,CE,702900,-60350,146,1.48
2026-06-11,2026-06-30,247.5,PE,557350,0,0,28.0
2026-06-11,2026-06-30,250.0,CE,9350700,273350,1096,1.32
2026-06-11,2026-06-30,250.0,PE,1721750,-14200,12,33.61
2026-06-11,2026-06-30,252.5,CE,756150,-220100,135,1.15
2026-06-11,2026-06-30,252.5,PE,241400,-7100,3,32.81
2026-06-11,2026-06-30,255.0,CE,1551350,60350,280,1.03
2026-06-11,2026-06-30,255.0,PE,138450,-3550,1,34.46
2026-06-11,2026-06-30,257.5,CE,205900,-10650,7,0.88
2026-06-11,2026-06-30,257.5,PE,0,0,0,40.3
2026-06-11,2026-06-30,260.0,CE,3731050,-479250,990,0.82
2026-06-11,2026-06-30,260.0,PE,461500,0,0,37.8
2026-06-11,2026-06-30,262.5,CE,149100,-14200,10,0.85
2026-06-11,2026-06-30,262.5,PE,0,0,0,44.14
2026-06-11,2026-06-30,265.0,CE,1469700,-3550,228,0.66
2026-06-11,2026-06-30,265.0,PE,17750,0,0,23.58
2026-06-11,2026-06-30,267.5,CE,181050,0,0,1.26
2026-06-11,2026-06-30,270.0,CE,1491000,-209450,782,0.55
2026-06-11,2026-06-30,270.0,PE,39050,0,0,28.0
2026-06-11,2026-06-30,272.5,CE,134900,-3550,1,0.6
2026-06-11,2026-06-30,275.0,CE,422450,-113600,77,0.42
2026-06-11,2026-06-30,275.0,PE,0,0,0,54.26
2026-06-11,2026-06-30,277.5,CE,120700,0,0,0.71
2026-06-11,2026-06-30,280.0,CE,2179700,-17750,220,0.37
2026-06-11,2026-06-30,280.0,PE,14200,0,0,32.05
2026-06-11,2026-07-28,195.0,CE,0,0,0,40.73
2026-06-11,2026-07-28,195.0,PE,3550,3550,1,4.0
2026-06-11,2026-07-28,200.0,CE,7100,7100,2,24.9
2026-06-11,2026-07-28,200.0,PE,81650,0,19,6.27
2026-06-11,2026-07-28,205.0,CE,0,0,0,34.46
2026-06-11,2026-07-28,205.0,PE,21300,0,0,4.8
2026-06-11,2026-07-28,207.5,CE,0,0,0,45.06
2026-06-11,2026-07-28,207.5,PE,0,0,0,5.9
