date,expiry,strike,opt_type,oi,chg_oi,volume,close
2026-06-05,2026-06-30,6300.0,PE,8000,-400,12,3.35
2026-06-05,2026-06-30,6400.0,CE,100,0,0,1370.0
2026-06-05,2026-06-30,6400.0,PE,9500,0,0,22.5
2026-06-05,2026-06-30,6500.0,CE,700,0,0,1184.1
2026-06-05,2026-06-30,6500.0,PE,61200,-300,6,19.4
2026-06-05,2026-06-30,6600.0,CE,100,0,0,825.0
2026-06-05,2026-06-30,6600.0,PE,300,0,0,60.0
2026-06-05,2026-06-30,6700.0,PE,19700,0,0,45.0
2026-06-05,2026-06-30,6800.0,CE,100,0,0,773.45
2026-06-05,2026-06-30,6800.0,PE,18700,0,0,53.15
2026-06-05,2026-06-30,6900.0,CE,0,0,0,1558.55
2026-06-05,2026-06-30,6900.0,PE,179200,-100,1,34.5
2026-06-05,2026-06-30,7000.0,CE,73900,-700,7,899.3
2026-06-05,2026-06-30,7000.0,PE,501100,-1500,114,29.05
2026-06-05,2026-06-30,7100.0,CE,7300,0,0,650.0
2026-06-05,2026-06-30,7100.0,PE,61600,0,0,57.15
2026-06-05,2026-06-30,7200.0,CE,55700,0,0,585.0
2026-06-05,2026-06-30,7200.0,PE,76800,-400,4,66.45
2026-06-05,2026-06-30,7300.0,CE,14900,-200,2,610.0
2026-06-05,2026-06-30,7300.0,PE,43100,-100,6,66.5
2026-06-05,2026-06-30,7400.0,CE,34100,-100,2,530.0
2026-06-05,2026-06-30,7400.0,PE,42500,-500,5,77.5
2026-06-05,2026-06-30,7500.0,CE,121900,-2000,28,471.8
2026-06-05,2026-06-30,7500.0,PE,72600,-2000,32,116.1
2026-06-05,2026-06-30,7600.0,CE,54300,-1300,30,414.5
2026-06-05,2026-06-30,7600.0,PE,23300,-900,9,132.25
2026-06-05,2026-06-30,7700.0,CE,58200,-1400,59,353.55
2026-06-05,2026-06-30,7700.0,PE,28800,-500,5,202.15
2026-06-05,2026-06-30,7800.0,CE,79500,-700,62,293.8
2026-06-05,2026-06-30,7800.0,PE,24600,-300,3,254.25
2026-06-05,2026-06-30,7900.0,CE,36200,-300,6,253.5
2026-06-05,2026-06-30,7900.0,PE,0,0,0,532.1
2026-06-05,2026-06-30,8000.0,CE,544800,-35400,426,230.05
2026-06-05,2026-06-30,8000.0,PE,29300,0,2,365.0
2026-06-05,2026-06-30,8100.0,CE,26500,-200,5,211.35
2026-06-05,2026-06-30,8100.0,PE,100,0,0,474.85
2026-06-05,2026-06-30,8200.0,CE,85400,-200,2,150.0
2026-06-05,2026-06-30,8200.0,PE,2400,0,0,657.8
2026-06-05,2026-06-30,8300.0,CE,77500,0,0,128.5
2026-06-05,2026-06-30,8300.0,PE,2200,0,0,865.0
2026-06-05,2026-06-30,8400.0,CE,31800,0,0,96.0
2026-06-05,2026-06-30,8400.0,PE,1000,0,0,742.9
2026-06-05,2026-06-30,8500.0,CE,256900,-10400,118,112.4
2026-06-05,2026-06-30,8500.0,PE,5800,0,0,904.75
2026-06-05,2026-06-30,8600.0,CE,43000,0,0,65.25
2026-06-05,2026-06-30,8600.0,PE,0,0,0,1774.95
2026-06-05,2026-06-30,8800.0,CE,56200,-400,5,80.35
2026-06-05,2026-06-30,8800.0,PE,1100,0,0,1336.0
2026-06-05,2026-06-30,8900.0,CE,4800,0,0,58.0
2026-06-05,2026-06-30,9000.0,CE,78100,-1100,12,61.35
2026-06-05,2026-06-30,9000.0,PE,900,0,0,1490.0
2026-06-05,2026-06-30,9200.0,CE,600,0,0,125.0
2026-06-05,2026-06-30,9300.0,CE,13600,0,1,100.25
2026-06-05,2026-06-30,9400.0,PE,600,0,0,1948.0
2026-06-05,2026-06-30,9500.0,CE,3000,0,0,20.9
2026-06-05,2026-06-30,9700.0,CE,600,0,0,14.0
2026-06-05,2026-06-30,9800.0,CE,15100,-300,4,21.15
2026-06-05,2026-06-30,9800.0,PE,100,0,0,2766.75
2026-06-05,2026-07-28,6600.0,CE,0,0,0,1899.7
2026-06-05,2026-07-28,6600.0,PE,0,0,0,204.95
2026-06-05,2026-07-28,6800.0,CE,0,0,0,1751.65
2026-06-05,2026-07-28,6800.0,PE,0,0,0,254.0
2026-06-05,2026-07-28,6900.0,CE,0,0,0,943.25
2026-06-05,2026-07-28,6900.0,PE,0,0,0,460.55
2026-06-05,2026-07-28,7000.0,CE,0,0,0,1610.4
2026-06-05,2026-07-28,7000.0,PE,1800,0,0,160.85
2026-06-05,2026-07-28,7100.0,CE,0,0,0,836.0
2026-06-05,2026-07-28,7100.0,PE,100,0,0,209.95
2026-06-05,2026-07-28,7200.0,CE,0,0,0,1476.5
2026-06-05,2026-07-28,7200.0,PE,200,0,0,328.15
2026-06-05,2026-07-28,7300.0,CE,0,0,0,738.0
2026-06-05,2026-07-28,7300.0,PE,200,0,0,364.35
2026-06-05,2026-07-28,7400.0,CE,100,0,0,895.4
2026-06-05,2026-07-28,7400.0,PE,0,0,0,443.75
2026-06-05,2026-07-28,7500.0,CE,0,0,0,649.0
2026-06-05,2026-07-28,7500.0,PE,300,0,0,443.75
2026-06-05,2026-07-28,7600.0,CE,200,0,0,439.95
2026-06-05,2026-07-28,7600.0,PE,0,0,0,522.3
2026-06-05,2026-07-28,7700.0,CE,0,0,0,568.6
2026-06-05,2026-07-28,7700.0,PE,0,0,0,877.7
2026-06-05,2026-07-28,7800.0,CE,0,0,0,1120.45
2026-06-05,2026-07-28,7800.0,PE,100,0,0,575.0
2026-06-05,2026-07-28,7900.0,CE,0,0,0,496.45
2026-06-05,2026-07-28,7900.0,PE,0,0,0,1003.45
2026-06-05,2026-07-28,8000.0,CE,0,0,0,1017.05
2026-06-05,2026-07-28,8000.0,PE,0,0,0,702.2
2026-06-05,2026-07-28,8100.0,CE,200,0,0,332.0
2026-06-05,2026-07-28,8100.0,PE,0,0,0,1136.9
2026-06-05,2026-07-28,8200.0,CE,0,0,0,921.0
2026-06-05,2026-07-28,8200.0,PE,0,0,0,803.25
2026-06-05,2026-07-28,8400.0,CE,100,0,0,206.55
2026-06-05,2026-07-28,8400.0,PE,0,0,0,911.55
2026-06-05,2026-07-28,8600.0,CE,0,0,0,750.25
2026-06-05,2026-07-28,8600.0,PE,0,0,0,1026.8
2026-06-05,2026-07-28,8800.0,CE,800,0,0,749.9
2026-06-05,2026-07-28,9200.0,CE,100,0,0,543.2
2026-06-05,2026-08-25,6800.0,CE,0,0,0,1145.4
2026-06-05,2026-08-25,6800.0,PE,0,0,0,532.95
2026-06-05,2026-08-25,7000.0,CE,0,0,0,1038.35
2026-06-05,2026-08-25,7000.0,PE,0,0,0,622.9
