date,expiry,strike,opt_type,oi,chg_oi,volume,close
2026-06-11,2026-06-30,6500.0,PE,5625,-375,13,2.85
2026-06-11,2026-06-30,7000.0,CE,0,0,0,696.9
2026-06-11,2026-06-30,7000.0,PE,20750,875,27,2.0
2026-06-11,2026-06-30,7100.0,CE,0,0,0,629.3
2026-06-11,2026-06-30,7100.0,PE,3750,0,2,2.25
2026-06-11,2026-06-30,7200.0,CE,0,0,0,566.0
2026-06-11,2026-06-30,7200.0,PE,3125,-250,11,2.0
2026-06-11,2026-06-30,7250.0,PE,250,0,0,43.0
2026-06-11,2026-06-30,7300.0,CE,0,0,0,506.8
2026-06-11,2026-06-30,7300.0,PE,5500,250,2,4.8
2026-06-11,2026-06-30,7350.0,PE,1875,0,0,25.0
2026-06-11,2026-06-30,7400.0,CE,0,0,0,451.7
2026-06-11,2026-06-30,7400.0,PE,6750,-250,3,2.05
2026-06-11,2026-06-30,7500.0,CE,2000,0,0,765.0
2026-06-11,2026-06-30,7500.0,PE,70000,-7500,283,3.7
2026-06-11,2026-06-30,7550.0,CE,0,0,0,474.0
2026-06-11,2026-06-30,7550.0,PE,3500,-1000,27,4.1
2026-06-11,2026-06-30,7600.0,CE,2000,0,0,863.2
2026-06-11,2026-06-30,7600.0,PE,70375,0,8,4.6
2026-06-11,2026-06-30,7650.0,CE,0,0,0,415.3
2026-06-11,2026-06-30,7650.0,PE,6000,0,0,5.0
2026-06-11,2026-06-30,7700.0,CE,1125,0,0,572.95
2026-06-11,2026-06-30,7700.0,PE,74125,-5750,74,6.5
2026-06-11,2026-06-30,7750.0,CE,3375,0,0,718.6
2026-06-11,2026-06-30,7750.0,PE,4125,0,0,18.4
2026-06-11,2026-06-30,7800.0,CE,3875,0,0,710.0
2026-06-11,2026-06-30,7800.0,PE,57625,3125,82,10.1
2026-06-11,2026-06-30,7850.0,CE,0,0,0,312.45
2026-06-11,2026-06-30,7850.0,PE,3500,1500,33,11.0
2026-06-11,2026-06-30,7900.0,CE,1750,0,0,409.5
2026-06-11,2026-06-30,7900.0,PE,51000,-1125,36,14.15
2026-06-11,2026-06-30,7950.0,CE,1875,0,0,442.1
2026-06-11,2026-06-30,7950.0,PE,8875,625,7,15.4
2026-06-11,2026-06-30,8000.0,CE,24750,-1000,19,520.0
2026-06-11,2026-06-30,8000.0,PE,125500,9625,435,19.25
2026-06-11,2026-06-30,8050.0,CE,7500,0,0,340.8
2026-06-11,2026-06-30,8050.0,PE,10500,500,14,23.9
2026-06-11,2026-06-30,8100.0,CE,21500,0,10,476.5
2026-06-11,2026-06-30,8100.0,PE,42750,-1625,120,29.55
2026-06-11,2026-06-30,8150.0,CE,7250,0,0,477.7
2026-06-11,2026-06-30,8150.0,PE,23875,-1500,68,33.3
2026-06-11,2026-06-30,8200.0,CE,27625,125,5,355.4
2026-06-11,2026-06-30,8200.0,PE,76000,750,249,41.95
2026-06-11,2026-06-30,8250.0,CE,11125,375,12,322.75
2026-06-11,2026-06-30,8250.0,PE,38625,-3750,225,52.5
2026-06-11,2026-06-30,8300.0,CE,51250,-5000,150,287.35
2026-06-11,2026-06-30,8300.0,PE,116125,-20000,1334,64.95
2026-06-11,2026-06-30,8350.0,CE,32500,-125,1,258.0
2026-06-11,2026-06-30,8350.0,PE,36625,-1625,203,74.9
2026-06-11,2026-06-30,8400.0,CE,41250,-1625,430,218.45
2026-06-11,2026-06-30,8400.0,PE,81750,11875,1682,94.85
2026-06-11,2026-06-30,8450.0,CE,28625,-6500,368,186.55
2026-06-11,2026-06-30,8450.0,PE,36250,-1000,561,112.15
2026-06-11,2026-06-30,8500.0,CE,114625,-11000,2026,159.3
2026-06-11,2026-06-30,8500.0,PE,70125,-6375,1138,134.75
2026-06-11,2026-06-30,8550.0,CE,51000,4875,664,133.55
