date,expiry,strike,opt_type,oi,chg_oi,volume,close
2026-06-05,2026-06-30,120.0,CE,15000,15000,5,26.15
2026-06-05,2026-06-30,120.0,PE,1210000,45000,75,0.18
2026-06-05,2026-06-30,125.0,CE,685000,-30000,9,21.63
2026-06-05,2026-06-30,125.0,PE,1045000,60000,118,0.35
2026-06-05,2026-06-30,127.5,CE,0,0,0,41.88
2026-06-05,2026-06-30,127.5,PE,10000,10000,3,0.63
2026-06-05,2026-06-30,130.0,CE,325000,10000,10,17.36
2026-06-05,2026-06-30,130.0,PE,4055000,525000,588,0.72
2026-06-05,2026-06-30,132.5,CE,25000,-5000,2,15.56
2026-06-05,2026-06-30,132.5,PE,975000,-10000,222,1.0
2026-06-05,2026-06-30,135.0,CE,500000,70000,32,12.86
2026-06-05,2026-06-30,135.0,PE,3520000,515000,663,1.41
2026-06-05,2026-06-30,137.5,CE,180000,40000,20,10.93
2026-06-05,2026-06-30,137.5,PE,1205000,-10000,317,1.93
2026-06-05,2026-06-30,140.0,CE,1240000,455000,292,9.05
2026-06-05,2026-06-30,140.0,PE,7490000,-140000,892,2.66
2026-06-05,2026-06-30,142.5,CE,1415000,125000,153,7.43
2026-06-05,2026-06-30,142.5,PE,2340000,60000,457,3.55
2026-06-05,2026-06-30,145.0,CE,5640000,1045000,2295,6.07
2026-06-05,2026-06-30,145.0,PE,6355000,295000,1482,4.65
2026-06-05,2026-06-30,147.5,CE,2645000,-70000,1217,4.87
2026-06-05,2026-06-30,147.5,PE,2485000,-355000,307,5.98
2026-06-05,2026-06-30,150.0,CE,9590000,-415000,3332,3.91
2026-06-05,2026-06-30,150.0,PE,9145000,-50000,192,7.46
2026-06-05,2026-06-30,152.5,CE,2300000,205000,515,3.1
2026-06-05,2026-06-30,152.5,PE,1250000,-40000,44,8.89
2026-06-05,2026-06-30,155.0,CE,9860000,365000,1669,2.48
2026-06-05,2026-06-30,155.0,PE,4845000,-30000,25,10.99
2026-06-05,2026-06-30,157.5,CE,3060000,255000,420,1.97
2026-06-05,2026-06-30,157.5,PE,1670000,0,0,12.88
2026-06-05,2026-06-30,160.0,CE,22985000,320000,1772,1.58
2026-06-05,2026-06-30,160.0,PE,10170000,0,17,15.13
2026-06-05,2026-06-30,162.5,CE,6585000,130000,268,1.27
2026-06-05,2026-06-30,162.5,PE,2065000,0,0,17.27
2026-06-05,2026-06-30,165.0,CE,21430000,910000,947,1.04
2026-06-05,2026-06-30,165.0,PE,5980000,240000,83,19.58
2026-06-05,2026-06-30,167.5,CE,2760000,115000,97,0.85
2026-06-05,2026-06-30,167.5,PE,1090000,5000,2,22.2
2026-06-05,2026-06-30,170.0,CE,22580000,495000,1177,0.7
2026-06-05,2026-06-30,170.0,PE,3345000,0,1,25.14
2026-06-05,2026-06-30,172.5,CE,1790000,5000,40,0.58
2026-06-05,2026-06-30,172.5,PE,645000,0,0,27.36
2026-06-05,2026-06-30,175.0,CE,11420000,320000,692,0.5
2026-06-05,2026-06-30,175.0,PE,500000,-25000,5,28.55
2026-06-05,2026-06-30,177.5,CE,650000,0,4,0.41
2026-06-05,2026-06-30,177.5,PE,35000,0,0,18.24
2026-06-05,2026-06-30,180.0,CE,10235000,-180000,494,0.35
2026-06-05,2026-06-30,180.0,PE,2025000,80000,17,33.2
2026-06-05,2026-06-30,182.5,CE,405000,-20000,6,0.26
2026-06-05,2026-06-30,182.5,PE,50000,0,0,34.0
2026-06-05,2026-06-30,185.0,CE,2375000,-65000,114,0.26
2026-06-05,2026-06-30,185.0,PE,245000,0,0,36.8
2026-06-05,2026-06-30,187.5,CE,355000,5000,2,0.22
2026-06-05,2026-06-30,187.5,PE,15000,0,0,28.5
2026-06-05,2026-06-30,190.0,CE,5645000,-85000,356,0.2
2026-06-05,2026-06-30,190.0,PE,725000,0,0,42.28
2026-06-05,2026-06-30,195.0,CE,1965000,55000,46,0.15
2026-06-05,2026-06-30,195.0,PE,1030000,0,0,49.57
2026-06-05,2026-06-30,210.0,CE,3380000,-25000,18,0.09
2026-06-05,2026-06-30,210.0,PE,4320000,0,0,61.93
2026-06-05,2026-07-28,120.0,CE,5000,5000,1,27.5
2026-06-05,2026-07-28,120.0,PE,20000,0,1,0.9
2026-06-05,2026-07-28,125.0,CE,0,0,0,45.31
2026-06-05,2026-07-28,125.0,PE,0,0,0,1.0
2026-06-05,2026-07-28,127.5,CE,0,0,0,35.35
2026-06-05,2026-07-28,127.5,PE,0,0,0,1.0
2026-06-05,2026-07-28,130.0,CE,20000,0,0,18.38
2026-06-05,2026-07-28,130.0,PE,740000,65000,49,1.87
2026-06-05,2026-07-28,132.5,CE,0,0,0,31.0
2026-06-05,2026-07-28,132.5,PE,0,0,0,1.61
2026-06-05,2026-07-28,135.0,CE,0,0,0,13.75
2026-06-05,2026-07-28,135.0,PE,25000,25000,5,3.28
2026-06-05,2026-07-28,137.5,CE,0,0,0,26.9
2026-06-05,2026-07-28,137.5,PE,0,0,0,2.45
2026-06-05,2026-07-28,140.0,CE,15000,0,0,12.08
2026-06-05,2026-07-28,140.0,PE,1740000,-30000,22,4.28
2026-06-05,2026-07-28,142.5,CE,0,0,0,23.09
2026-06-05,2026-07-28,142.5,PE,0,0,0,3.59
2026-06-05,2026-07-28,145.0,CE,65000,10000,5,9.2
2026-06-05,2026-07-28,145.0,PE,220000,-15000,9,6.7
2026-06-05,2026-07-28,147.5,CE,30000,0,0,6.61
2026-06-05,2026-07-28,147.5,PE,5000,0,0,5.02
2026-06-05,2026-07-28,150.0,CE,400000,115000,50,6.7
2026-06-05,2026-07-28,150.0,PE,1865000,5000,1,9.25
2026-06-05,2026-07-28,152.5,CE,0,0,0,16.42
2026-06-05,2026-07-28,152.5,PE,0,0,0,6.81
2026-06-05,2026-07-28,155.0,CE,125000,5000,9,5.01
2026-06-05,2026-07-28,155.0,PE,215000,0,0,12.4
2026-06-05,2026-07-28,157.5,CE,0,0,0,13.61
2026-06-05,2026-07-28,157.5,PE,0,0,0,8.95
2026-06-05,2026-07-28,160.0,CE,625000,15000,38,3.59
2026-06-05,2026-07-28,160.0,PE,130000,0,0,16.06
2026-06-05,2026-07-28,162.5,CE,0,0,0,11.15
2026-06-05,2026-07-28,162.5,PE,0,0,0,11.45
2026-06-05,2026-07-28,165.0,CE,95000,5000,2,3.0
2026-06-05,2026-07-28,165.0,PE,30000,0,0,21.6
2026-06-05,2026-07-28,167.5,CE,0,0,0,9.04
2026-06-05,2026-07-28,167.5,PE,0,0,0,14.29
2026-06-05,2026-07-28,170.0,CE,915000,50000,41,1.96
2026-06-05,2026-07-28,170.0,PE,80000,0,0,24.0
2026-06-05,2026-07-28,172.5,CE,0,0,0,7.25
2026-06-05,2026-07-28,172.5,PE,0,0,0,17.44
2026-06-05,2026-07-28,175.0,CE,25000,0,6,1.55
2026-06-05,2026-07-28,175.0,PE,0,0,0,16.96
2026-06-05,2026-07-28,177.5,CE,5000,0,0,2.47
2026-06-05,2026-07-28,177.5,PE,0,0,0,20.9
2026-06-05,2026-07-28,180.0,CE,640000,10000,16,1.14
2026-06-05,2026-07-28,180.0,PE,25000,0,0,34.97
2026-06-05,2026-07-28,185.0,CE,5000,0,0,1.1
2026-06-05,2026-07-28,185.0,PE,20000,0,0,37.21
2026-06-05,2026-07-28,190.0,CE,800000,15000,12,0.72
2026-06-05,2026-07-28,190.0,PE,15000,0,0,30.0
2026-06-05,2026-07-28,200.0,CE,885000,10000,10,0.45
2026-06-05,2026-07-28,200.0,PE,5000,0,0,34.5
2026-06-05,2026-08-25,110.0,CE,0,0,0,52.52
2026-06-05,2026-08-25,110.0,PE,0,0,0,0.35
2026-06-05,2026-08-25,120.0,CE,0,0,0,43.29
2026-06-05,2026-08-25,120.0,PE,0,0,0,0.98
2026-06-05,2026-08-25,130.0,CE,0,0,0,34.7
2026-06-05,2026-08-25,130.0,PE,5000,5000,1,2.5
2026-06-05,2026-08-25,135.0,CE,0,0,0,30.72
2026-06-05,2026-08-25,135.0,PE,0,0,0,3.18
2026-06-05,2026-08-25,140.0,CE,0,0,0,27.0
2026-06-05,2026-08-25,140.0,PE,0,0,0,4.39
2026-06-05,2026-08-25,145.0,CE,5000,0,0,11.2
2026-06-05,2026-08-25,145.0,PE,0,0,0,5.86
2026-06-05,2026-08-25,150.0,CE,0,0,0,20.38
2026-06-05,2026-08-25,150.0,PE,25000,0,0,12.0
2026-06-05,2026-08-25,155.0,CE,0,0,0,17.51
2026-06-05,2026-08-25,155.0,PE,0,0,0,9.68
2026-06-05,2026-08-25,160.0,CE,0,0,0,14.94
2026-06-05,2026-08-25,160.0,PE,0,0,0,12.04
2026-06-05,2026-08-25,165.0,CE,0,0,0,12.66
2026-06-05,2026-08-25,165.0,PE,0,0,0,14.68
2026-06-05,2026-08-25,170.0,CE,0,0,0,10.66
2026-06-05,2026-08-25,170.0,PE,0,0,0,17.6
2026-06-05,2026-08-25,175.0,CE,0,0,0,8.91
2026-06-05,2026-08-25,175.0,PE,0,0,0,20.79
2026-06-05,2026-08-25,180.0,CE,0,0,0,7.41
2026-06-05,2026-08-25,180.0,PE,0,0,0,24.21
2026-06-05,2026-08-25,190.0,CE,0,0,0,5.04
2026-06-05,2026-08-25,190.0,PE,0,0,0,31.69
2026-06-08,2026-06-30,120.0,CE,30000,15000,8,22.24
2026-06-08,2026-06-30,120.0,PE,1575000,365000,463,0.25
2026-06-08,2026-06-30,125.0,CE,670000,-15000,7,17.7
2026-06-08,2026-06-30,125.0,PE,1290000,245000,255,0.6
2026-06-08,2026-06-30,127.5,CE,0,0,0,41.88
2026-06-08,2026-06-30,127.5,PE,60000,50000,14,0.89
2026-06-08,2026-06-30,130.0,CE,350000,25000,7,12.86
2026-06-08,2026-06-30,130.0,PE,4605000,550000,1248,1.26
2026-06-08,2026-06-30,132.5,CE,25000,0,0,15.56
2026-06-08,2026-06-30,132.5,PE,1050000,75000,143,1.8
2026-06-08,2026-06-30,135.0,CE,910000,410000,297,9.13
2026-06-08,2026-06-30,135.0,PE,3505000,-15000,843,2.42
2026-06-08,2026-06-30,137.5,CE,190000,10000,22,7.46
2026-06-08,2026-06-30,137.5,PE,1180000,-25000,242,3.28
2026-06-08,2026-06-30,140.0,CE,2905000,1665000,1217,6.05
2026-06-08,2026-06-30,140.0,PE,7570000,80000,1500,4.3
2026-06-08,2026-06-30,142.5,CE,2340000,925000,818,4.83
2026-06-08,2026-06-30,142.5,PE,2625000,285000,470,5.56
2026-06-08,2026-06-30,145.0,CE,7475000,1835000,2253,3.82
2026-06-08,2026-06-30,145.0,PE,6285000,-70000,672,7.04
2026-06-08,2026-06-30,147.5,CE,2950000,305000,560,2.97
2026-06-08,2026-06-30,147.5,PE,2345000,-140000,92,8.78
2026-06-08,2026-06-30,150.0,CE,12590000,3000000,2751,2.32
2026-06-08,2026-06-30,150.0,PE,8980000,-165000,191,10.5
2026-06-08,2026-06-30,152.5,CE,2770000,470000,569,1.82
