date,expiry,strike,opt_type,oi,chg_oi,volume,close
2026-06-11,2026-06-30,2000.0,PE,12750,0,0,0.4
2026-06-11,2026-06-30,2120.0,PE,250,0,0,0.55
2026-06-11,2026-06-30,2160.0,PE,13000,0,0,0.8
2026-06-11,2026-06-30,2200.0,CE,500,0,0,415.0
2026-06-11,2026-06-30,2200.0,PE,79250,15000,535,0.9
2026-06-11,2026-06-30,2220.0,PE,26500,250,1,1.5
2026-06-11,2026-06-30,2240.0,PE,5750,-250,5,1.05
2026-06-11,2026-06-30,2260.0,PE,42000,0,0,0.75
2026-06-11,2026-06-30,2280.0,PE,4250,0,0,0.95
2026-06-11,2026-06-30,2300.0,CE,6500,0,0,337.0
2026-06-11,2026-06-30,2300.0,PE,306500,-11750,404,1.25
2026-06-11,2026-06-30,2320.0,CE,0,0,0,75.65
2026-06-11,2026-06-30,2320.0,PE,12750,-500,2,1.5
2026-06-11,2026-06-30,2340.0,PE,39250,0,1,1.7
2026-06-11,2026-06-30,2360.0,CE,10500,0,0,358.95
2026-06-11,2026-06-30,2360.0,PE,18750,-750,4,1.85
2026-06-11,2026-06-30,2380.0,PE,11000,-1000,12,2.5
2026-06-11,2026-06-30,2400.0,CE,45500,-250,3,278.2
2026-06-11,2026-06-30,2400.0,PE,122750,-6750,95,3.0
2026-06-11,2026-06-30,2420.0,CE,0,0,0,153.15
2026-06-11,2026-06-30,2420.0,PE,21500,0,0,3.55
2026-06-11,2026-06-30,2440.0,CE,0,0,0,43.9
2026-06-11,2026-06-30,2440.0,PE,147750,1000,67,4.25
2026-06-11,2026-06-30,2460.0,CE,1000,0,0,193.95
2026-06-11,2026-06-30,2460.0,PE,51000,-750,40,5.5
2026-06-11,2026-06-30,2480.0,CE,250,0,0,111.35
2026-06-11,2026-06-30,2480.0,PE,50000,-500,7,7.55
2026-06-11,2026-06-30,2500.0,CE,27750,-1250,9,178.95
2026-06-11,2026-06-30,2500.0,PE,236000,-9000,352,8.3
2026-06-11,2026-06-30,2520.0,CE,0,0,0,29.55
2026-06-11,2026-06-30,2520.0,PE,139500,-1000,33,10.5
2026-06-11,2026-06-30,2540.0,CE,6000,3250,31,146.4
2026-06-11,2026-06-30,2540.0,PE,153750,-2000,69,12.9
2026-06-11,2026-06-30,2560.0,CE,31500,0,0,152.0
2026-06-11,2026-06-30,2560.0,PE,73750,-9000,142,15.95
2026-06-11,2026-06-30,2580.0,CE,26750,250,8,111.35
2026-06-11,2026-06-30,2580.0,PE,65250,-5000,130,19.9
2026-06-11,2026-06-30,2600.0,CE,114500,500,33,96.5
2026-06-11,2026-06-30,2600.0,PE,177250,4750,855,24.5
2026-06-11,2026-06-30,2620.0,CE,63250,-2250,37,81.85
2026-06-11,2026-06-30,2620.0,PE,80250,-9250,245,30.85
2026-06-11,2026-06-30,2640.0,CE,126750,-3500,72,70.0
2026-06-11,2026-06-30,2640.0,PE,189250,-750,276,37.85
2026-06-11,2026-06-30,2660.0,CE,119250,500,252,58.95
2026-06-11,2026-06-30,2660.0,PE,209750,-1750,608,45.8
