date,expiry,strike,opt_type,oi,chg_oi,volume,close
2026-06-05,2026-06-30,1200.0,CE,3825,0,3,339.8
2026-06-05,2026-06-30,1200.0,PE,19125,-11475,114,0.95
2026-06-05,2026-06-30,1240.0,CE,2550,0,3,300.25
2026-06-05,2026-06-30,1240.0,PE,8925,-17425,63,1.2
2026-06-05,2026-06-30,1260.0,CE,425,0,0,212.5
2026-06-05,2026-06-30,1280.0,CE,2125,0,0,250.0
2026-06-05,2026-06-30,1280.0,PE,43350,26350,225,2.1
2026-06-05,2026-06-30,1300.0,PE,190825,180625,1618,2.85
2026-06-05,2026-06-30,1320.0,CE,0,0,0,317.85
2026-06-05,2026-06-30,1320.0,PE,61200,51425,230,3.25
2026-06-05,2026-06-30,1340.0,PE,17850,4675,21,3.7
2026-06-05,2026-06-30,1360.0,CE,2975,0,0,201.45
2026-06-05,2026-06-30,1360.0,PE,36550,10625,150,4.75
2026-06-05,2026-06-30,1380.0,CE,0,0,0,206.35
2026-06-05,2026-06-30,1380.0,PE,15725,-850,33,6.15
2026-06-05,2026-06-30,1400.0,CE,46325,0,0,151.45
2026-06-05,2026-06-30,1400.0,PE,121125,-850,373,8.2
2026-06-05,2026-06-30,1420.0,CE,0,0,0,176.65
2026-06-05,2026-06-30,1420.0,PE,17000,5525,107,10.95
2026-06-05,2026-06-30,1440.0,CE,52275,425,3,111.75
2026-06-05,2026-06-30,1440.0,PE,50575,5525,140,14.4
2026-06-05,2026-06-30,1460.0,CE,33575,0,2,88.45
2026-06-05,2026-06-30,1460.0,PE,52700,-4675,111,19.0
2026-06-05,2026-06-30,1480.0,CE,13600,0,0,94.85
2026-06-05,2026-06-30,1480.0,PE,61625,-425,155,24.65
2026-06-05,2026-06-30,1500.0,CE,91800,-3825,61,62.25
2026-06-05,2026-06-30,1500.0,PE,260100,2125,435,31.6
2026-06-05,2026-06-30,1520.0,CE,48025,-425,80,50.6
2026-06-05,2026-06-30,1520.0,PE,56950,-14450,149,40.45
2026-06-05,2026-06-30,1540.0,CE,90100,9350,222,41.2
2026-06-05,2026-06-30,1540.0,PE,59925,-1700,317,50.1
2026-06-05,2026-06-30,1560.0,CE,172975,103700,727,32.3
2026-06-05,2026-06-30,1560.0,PE,89675,24650,239,61.7
2026-06-05,2026-06-30,1580.0,CE,77350,-5525,106,25.25
2026-06-05,2026-06-30,1580.0,PE,60350,-4675,33,74.3
2026-06-05,2026-06-30,1600.0,CE,226525,-3400,592,19.35
2026-06-05,2026-06-30,1600.0,PE,91800,-2975,54,89.0
2026-06-05,2026-06-30,1620.0,CE,77775,-4250,63,14.6
2026-06-05,2026-06-30,1620.0,PE,44200,0,0,86.75
2026-06-05,2026-06-30,1640.0,CE,131325,12325,165,10.95
2026-06-05,2026-06-30,1640.0,PE,8925,0,0,74.75
2026-06-05,2026-06-30,1660.0,CE,57800,6800,120,7.95
2026-06-05,2026-06-30,1660.0,PE,8925,0,0,84.4
2026-06-05,2026-06-30,1680.0,CE,170850,99875,345,5.95
2026-06-05,2026-06-30,1680.0,PE,1275,0,0,180.0
2026-06-05,2026-06-30,1700.0,CE,212925,-10200,421,4.35
2026-06-05,2026-06-30,1700.0,PE,10200,0,0,165.05
2026-06-05,2026-06-30,1720.0,CE,119000,3400,62,3.1
2026-06-05,2026-06-30,1720.0,PE,425,0,0,178.0
2026-06-05,2026-06-30,1740.0,CE,101150,5100,82,2.25
2026-06-05,2026-06-30,1740.0,PE,3825,0,0,195.95
2026-06-05,2026-06-30,1760.0,CE,77350,5525,158,1.9
2026-06-05,2026-06-30,1760.0,PE,425,0,0,161.15
2026-06-05,2026-06-30,1800.0,CE,147900,6800,89,1.1
2026-06-05,2026-06-30,1800.0,PE,11050,0,0,251.0
2026-06-05,2026-06-30,1840.0,CE,0,0,0,44.5
2026-06-05,2026-06-30,1840.0,PE,0,0,0,252.55
2026-06-05,2026-07-28,1280.0,CE,0,0,0,302.55
2026-06-05,2026-07-28,1280.0,PE,0,0,0,15.3
2026-06-05,2026-07-28,1320.0,CE,0,0,0,269.6
2026-06-05,2026-07-28,1320.0,PE,0,0,0,21.75
2026-06-05,2026-07-28,1360.0,CE,0,0,0,238.45
2026-06-05,2026-07-28,1360.0,PE,0,0,0,30.0
2026-06-05,2026-07-28,1380.0,CE,0,0,0,232.9
2026-06-05,2026-07-28,1380.0,PE,0,0,0,19.95
2026-06-05,2026-07-28,1400.0,CE,0,0,0,209.3
2026-06-05,2026-07-28,1400.0,PE,1275,0,2,28.0
2026-06-05,2026-07-28,1420.0,CE,0,0,0,201.85
2026-06-05,2026-07-28,1420.0,PE,0,0,0,28.45
2026-06-05,2026-07-28,1440.0,CE,0,0,0,182.2
2026-06-05,2026-07-28,1440.0,PE,0,0,0,52.65
2026-06-05,2026-07-28,1460.0,CE,0,0,0,173.05
2026-06-05,2026-07-28,1460.0,PE,0,0,0,39.25
2026-06-05,2026-07-28,1480.0,CE,0,0,0,157.45
2026-06-05,2026-07-28,1480.0,PE,8075,0,2,52.5
2026-06-05,2026-07-28,1500.0,CE,0,0,0,146.8
2026-06-05,2026-07-28,1500.0,PE,26775,20825,56,60.0
2026-06-05,2026-07-28,1520.0,CE,0,0,0,135.05
2026-06-05,2026-07-28,1520.0,PE,1275,0,0,46.0
2026-06-05,2026-07-28,1540.0,CE,0,0,0,123.15
2026-06-05,2026-07-28,1540.0,PE,0,0,0,68.6
2026-06-05,2026-07-28,1560.0,CE,0,0,0,114.95
2026-06-05,2026-07-28,1560.0,PE,0,0,0,103.65
2026-06-05,2026-07-28,1580.0,CE,0,0,0,102.25
2026-06-05,2026-07-28,1580.0,PE,0,0,0,87.25
2026-06-05,2026-07-28,1600.0,CE,0,0,0,97.1
2026-06-05,2026-07-28,1600.0,PE,3825,1700,4,102.5
2026-06-05,2026-07-28,1620.0,CE,0,0,0,83.95
2026-06-05,2026-07-28,1620.0,PE,0,0,0,108.55
2026-06-05,2026-07-28,1640.0,CE,0,0,0,81.4
2026-06-05,2026-07-28,1640.0,PE,0,0,0,148.95
2026-06-05,2026-07-28,1660.0,CE,0,0,0,68.2
2026-06-05,2026-07-28,1660.0,PE,0,0,0,132.35
2026-06-05,2026-07-28,1680.0,CE,0,0,0,67.8
2026-06-05,2026-07-28,1680.0,PE,0,0,0,174.75
2026-06-05,2026-07-28,1700.0,CE,0,0,0,54.8
2026-06-05,2026-07-28,1700.0,PE,0,0,0,158.6
2026-06-05,2026-07-28,1720.0,CE,0,0,0,56.05
2026-06-05,2026-07-28,1720.0,PE,0,0,0,202.45
2026-06-05,2026-07-28,1740.0,CE,0,0,0,43.6
2026-06-05,2026-07-28,1740.0,PE,0,0,0,186.95
2026-06-05,2026-07-28,1760.0,CE,0,0,0,46.1
2026-06-05,2026-07-28,1760.0,PE,0,0,0,231.95
2026-06-05,2026-07-28,1800.0,CE,0,0,0,37.6
2026-06-05,2026-07-28,1800.0,PE,0,0,0,262.9
2026-06-05,2026-07-28,1840.0,CE,425,0,0,6.0
2026-06-05,2026-07-28,1840.0,PE,0,0,0,295.2
2026-06-05,2026-08-25,1280.0,CE,0,0,0,331.0
2026-06-05,2026-08-25,1280.0,PE,0,0,0,13.3
2026-06-05,2026-08-25,1360.0,CE,0,0,0,265.2
2026-06-05,2026-08-25,1360.0,PE,0,0,0,26.3
2026-06-05,2026-08-25,1400.0,CE,0,0,0,234.95
2026-06-05,2026-08-25,1400.0,PE,0,0,0,35.5
2026-06-05,2026-08-25,1440.0,CE,0,0,0,206.65
2026-06-05,2026-08-25,1440.0,PE,0,0,0,46.6
2026-06-05,2026-08-25,1480.0,CE,0,0,0,180.45
2026-06-05,2026-08-25,1480.0,PE,0,0,0,59.75
2026-06-05,2026-08-25,1520.0,CE,0,0,0,156.5
2026-06-05,2026-08-25,1520.0,PE,0,0,0,75.25
2026-06-05,2026-08-25,1560.0,CE,0,0,0,134.75
2026-06-05,2026-08-25,1560.0,PE,0,0,0,92.9
2026-06-05,2026-08-25,1600.0,CE,0,0,0,115.25
2026-06-05,2026-08-25,1600.0,PE,0,0,0,112.8
2026-06-05,2026-08-25,1640.0,CE,0,0,0,97.9
2026-06-05,2026-08-25,1640.0,PE,0,0,0,134.9
2026-06-05,2026-08-25,1680.0,CE,0,0,0,82.6
2026-06-05,2026-08-25,1680.0,PE,0,0,0,159.0
2026-06-05,2026-08-25,1720.0,CE,0,0,0,69.25
2026-06-05,2026-08-25,1720.0,PE,0,0,0,185.05
2026-06-05,2026-08-25,1760.0,CE,0,0,0,57.7
2026-06-05,2026-08-25,1760.0,PE,0,0,0,212.9
2026-06-05,2026-08-25,1840.0,CE,0,0,0,39.4
2026-06-05,2026-08-25,1840.0,PE,0,0,0,273.45
2026-06-08,2026-06-30,1200.0,CE,3825,0,1,333.85
2026-06-08,2026-06-30,1200.0,PE,19125,0,8,0.7
2026-06-08,2026-06-30,1240.0,CE,2550,0,0,300.25
2026-06-08,2026-06-30,1240.0,PE,10625,1700,23,1.7
2026-06-08,2026-06-30,1260.0,CE,425,0,0,212.5
2026-06-08,2026-06-30,1280.0,CE,2125,0,0,250.0
2026-06-08,2026-06-30,1280.0,PE,34000,-9350,28,1.2
2026-06-08,2026-06-30,1300.0,PE,102425,-88400,406,1.9
2026-06-08,2026-06-30,1320.0,CE,0,0,0,317.85
2026-06-08,2026-06-30,1320.0,PE,43350,-17850,249,2.3
2026-06-08,2026-06-30,1340.0,PE,11900,-5950,98,3.2
2026-06-08,2026-06-30,1360.0,CE,2975,0,0,201.45
2026-06-08,2026-06-30,1360.0,PE,32300,-4250,48,4.45
2026-06-08,2026-06-30,1380.0,CE,0,0,0,206.35
2026-06-08,2026-06-30,1380.0,PE,15725,0,0,6.15
2026-06-08,2026-06-30,1400.0,CE,46325,0,0,151.45
2026-06-08,2026-06-30,1400.0,PE,133875,12750,367,7.9
2026-06-08,2026-06-30,1420.0,CE,0,0,0,176.65
2026-06-08,2026-06-30,1420.0,PE,13175,-3825,26,11.35
2026-06-08,2026-06-30,1440.0,CE,52275,0,0,111.75
2026-06-08,2026-06-30,1440.0,PE,40375,-10200,158,14.8
2026-06-08,2026-06-30,1460.0,CE,32300,-1275,9,76.05
2026-06-08,2026-06-30,1460.0,PE,55675,2975,131,19.1
2026-06-08,2026-06-30,1480.0,CE,13600,0,0,94.85
2026-06-08,2026-06-30,1480.0,PE,61200,-425,94,26.85
2026-06-08,2026-06-30,1500.0,CE,99450,7650,202,53.55
2026-06-08,2026-06-30,1500.0,PE,268175,8075,650,33.25
2026-06-08,2026-06-30,1520.0,CE,61200,13175,192,43.15
2026-06-08,2026-06-30,1520.0,PE,49725,-7225,255,42.4
2026-06-08,2026-06-30,1540.0,CE,107950,17850,370,34.15
2026-06-08,2026-06-30,1540.0,PE,53125,-6800,144,55.25
2026-06-08,2026-06-30,1560.0,CE,174675,1700,506,26.85
2026-06-08,2026-06-30,1560.0,PE,83300,-6375,45,68.2
2026-06-08,2026-06-30,1580.0,CE,63750,-13600,213,19.5
2026-06-08,2026-06-30,1580.0,PE,58650,-1700,14,79.6
2026-06-08,2026-06-30,1600.0,CE,250750,24225,852,15.65
2026-06-08,2026-06-30,1600.0,PE,91375,-425,44,86.65
2026-06-08,2026-06-30,1620.0,CE,85000,7225,176,11.3
2026-06-08,2026-06-30,1620.0,PE,44200,0,0,86.75
2026-06-08,2026-06-30,1640.0,CE,148750,17425,237,8.7
2026-06-08,2026-06-30,1640.0,PE,8925,0,0,74.75
2026-06-08,2026-06-30,1660.0,CE,59075,1275,160,6.35
2026-06-08,2026-06-30,1660.0,PE,8925,0,0,84.4
2026-06-08,2026-06-30,1680.0,CE,167875,-2975,182,4.6
2026-06-08,2026-06-30,1680.0,PE,1275,0,0,180.0
2026-06-08,2026-06-30,1700.0,CE,209525,-3400,299,3.4
2026-06-08,2026-06-30,1700.0,PE,10200,0,0,165.05
2026-06-08,2026-06-30,1720.0,CE,125375,6375,70,2.3
2026-06-08,2026-06-30,1720.0,PE,425,0,0,178.0
2026-06-08,2026-06-30,1740.0,CE,107525,6375,82,1.8
2026-06-08,2026-06-30,1740.0,PE,3825,0,0,195.95
2026-06-08,2026-06-30,1760.0,CE,76075,-1275,10,2.2
2026-06-08,2026-06-30,1760.0,PE,425,0,0,161.15
2026-06-08,2026-06-30,1800.0,CE,155550,7650,437,1.0
2026-06-08,2026-06-30,1800.0,PE,6800,-4250,10,257.0
2026-06-08,2026-06-30,1840.0,CE,0,0,0,44.5
2026-06-08,2026-06-30,1840.0,PE,0,0,0,252.55
2026-06-08,2026-07-28,1280.0,CE,0,0,0,302.55
2026-06-08,2026-07-28,1280.0,PE,0,0,0,15.3
2026-06-08,2026-07-28,1320.0,CE,0,0,0,269.6
2026-06-08,2026-07-28,1320.0,PE,0,0,0,21.75
2026-06-08,2026-07-28,1360.0,CE,0,0,0,238.45
2026-06-08,2026-07-28,1360.0,PE,0,0,0,30.0
2026-06-08,2026-07-28,1380.0,CE,0,0,0,232.9
2026-06-08,2026-07-28,1380.0,PE,0,0,0,19.95
2026-06-08,2026-07-28,1400.0,CE,0,0,0,209.3
2026-06-08,2026-07-28,1400.0,PE,1275,0,0,28.0
2026-06-08,2026-07-28,1420.0,CE,0,0,0,201.85
2026-06-08,2026-07-28,1420.0,PE,0,0,0,28.45
2026-06-08,2026-07-28,1440.0,CE,0,0,0,182.2
