date,expiry,strike,opt_type,oi,chg_oi,volume,close
2026-06-05,2026-06-30,820.0,CE,2000,0,0,165.0
2026-06-05,2026-06-30,820.0,PE,0,0,0,43.7
2026-06-05,2026-06-30,840.0,CE,3000,0,0,128.95
2026-06-05,2026-06-30,840.0,PE,73000,-2000,10,1.05
2026-06-05,2026-06-30,860.0,CE,0,0,0,61.1
2026-06-05,2026-06-30,860.0,PE,129000,11000,39,1.9
2026-06-05,2026-06-30,870.0,CE,0,0,0,172.05
2026-06-05,2026-06-30,870.0,PE,5000,0,0,4.05
2026-06-05,2026-06-30,880.0,CE,0,0,0,52.55
2026-06-05,2026-06-30,880.0,PE,68000,-5000,87,3.2
2026-06-05,2026-06-30,890.0,CE,0,0,0,155.75
2026-06-05,2026-06-30,890.0,PE,28000,7000,18,5.0
2026-06-05,2026-06-30,900.0,CE,52000,-3000,6,88.0
2026-06-05,2026-06-30,900.0,PE,229000,-21000,355,5.3
2026-06-05,2026-06-30,910.0,CE,0,0,0,140.2
2026-06-05,2026-06-30,910.0,PE,72000,0,33,6.75
2026-06-05,2026-06-30,920.0,CE,3000,0,0,60.0
2026-06-05,2026-06-30,920.0,PE,157000,35000,144,8.85
2026-06-05,2026-06-30,930.0,CE,0,0,0,125.55
2026-06-05,2026-06-30,930.0,PE,58000,0,25,10.8
2026-06-05,2026-06-30,940.0,CE,60000,19000,102,49.15
2026-06-05,2026-06-30,940.0,PE,142000,-20000,117,13.25
2026-06-05,2026-06-30,950.0,CE,143000,1000,201,41.8
2026-06-05,2026-06-30,950.0,PE,316000,-4000,220,16.4
2026-06-05,2026-06-30,960.0,CE,251000,-2000,638,36.1
2026-06-05,2026-06-30,960.0,PE,274000,24000,443,20.45
2026-06-05,2026-06-30,970.0,CE,255000,99000,694,30.6
2026-06-05,2026-06-30,970.0,PE,256000,16000,456,25.0
2026-06-05,2026-06-30,980.0,CE,527000,36000,781,25.7
2026-06-05,2026-06-30,980.0,PE,407000,89000,445,29.3
2026-06-05,2026-06-30,990.0,CE,129000,21000,166,21.35
2026-06-05,2026-06-30,990.0,PE,137000,0,3,35.5
2026-06-05,2026-06-30,1000.0,CE,697000,27000,1283,17.6
2026-06-05,2026-06-30,1000.0,PE,339000,21000,65,41.3
2026-06-05,2026-06-30,1010.0,CE,206000,-58000,288,14.25
2026-06-05,2026-06-30,1010.0,PE,104000,0,0,51.1
2026-06-05,2026-06-30,1020.0,CE,276000,-31000,323,11.65
2026-06-05,2026-06-30,1020.0,PE,286000,-7000,13,48.05
2026-06-05,2026-06-30,1030.0,CE,147000,-19000,161,9.4
2026-06-05,2026-06-30,1030.0,PE,124000,0,0,56.0
2026-06-05,2026-06-30,1040.0,CE,163000,14000,155,7.55
2026-06-05,2026-06-30,1040.0,PE,23000,0,0,61.8
2026-06-05,2026-06-30,1050.0,CE,241000,47000,380,6.15
2026-06-05,2026-06-30,1050.0,PE,48000,0,0,80.8
2026-06-05,2026-06-30,1060.0,CE,202000,94000,294,4.95
2026-06-05,2026-06-30,1060.0,PE,8000,0,0,64.8
2026-06-05,2026-06-30,1070.0,CE,122000,51000,143,4.0
2026-06-05,2026-06-30,1070.0,PE,17000,0,0,89.8
2026-06-05,2026-06-30,1080.0,CE,163000,-5000,42,3.3
2026-06-05,2026-06-30,1080.0,PE,4000,0,0,80.0
2026-06-05,2026-06-30,1090.0,CE,30000,1000,23,2.5
2026-06-05,2026-06-30,1090.0,PE,0,0,0,98.4
2026-06-05,2026-06-30,1100.0,CE,491000,-28000,292,2.25
2026-06-05,2026-06-30,1100.0,PE,45000,0,1,128.0
2026-06-05,2026-06-30,1120.0,CE,152000,0,59,1.55
2026-06-05,2026-06-30,1120.0,PE,9000,0,3,147.3
2026-06-05,2026-06-30,1130.0,CE,14000,0,4,1.75
2026-06-05,2026-06-30,1140.0,CE,89000,1000,7,1.7
2026-06-05,2026-06-30,1140.0,PE,0,0,0,126.0
2026-06-05,2026-06-30,1160.0,CE,74000,-1000,1,0.55
2026-06-05,2026-06-30,1160.0,PE,3000,0,0,132.4
2026-06-05,2026-06-30,1200.0,CE,67000,14000,17,0.65
2026-06-05,2026-06-30,1200.0,PE,0,-1000,1,225.0
2026-06-05,2026-07-28,820.0,CE,0,0,0,223.65
2026-06-05,2026-07-28,820.0,PE,1000,1000,1,5.0
2026-06-05,2026-07-28,840.0,CE,0,0,0,206.7
2026-06-05,2026-07-28,840.0,PE,0,0,0,11.85
2026-06-05,2026-07-28,860.0,CE,0,0,0,190.4
2026-06-05,2026-07-28,860.0,PE,1000,0,0,6.4
2026-06-05,2026-07-28,870.0,CE,0,0,0,161.9
2026-06-05,2026-07-28,870.0,PE,0,0,0,11.2
2026-06-05,2026-07-28,880.0,CE,0,0,0,174.7
2026-06-05,2026-07-28,880.0,PE,0,0,0,19.25
2026-06-05,2026-07-28,890.0,CE,0,0,0,145.8
2026-06-05,2026-07-28,890.0,PE,0,0,0,14.9
2026-06-05,2026-07-28,900.0,CE,0,0,0,159.7
2026-06-05,2026-07-28,900.0,PE,0,0,0,24.0
2026-06-05,2026-07-28,910.0,CE,0,0,0,130.55
2026-06-05,2026-07-28,910.0,PE,0,0,0,19.4
2026-06-05,2026-07-28,920.0,CE,0,0,0,145.45
2026-06-05,2026-07-28,920.0,PE,0,0,0,29.45
2026-06-05,2026-07-28,930.0,CE,0,0,0,116.2
2026-06-05,2026-07-28,930.0,PE,0,0,0,24.85
2026-06-05,2026-07-28,940.0,CE,0,0,0,131.9
2026-06-05,2026-07-28,940.0,PE,0,0,0,35.6
2026-06-05,2026-07-28,950.0,CE,0,0,0,102.7
2026-06-05,2026-07-28,950.0,PE,2000,0,0,29.0
2026-06-05,2026-07-28,960.0,CE,0,0,0,119.2
2026-06-05,2026-07-28,960.0,PE,1000,0,0,37.0
2026-06-05,2026-07-28,970.0,CE,0,0,0,90.25
2026-06-05,2026-07-28,970.0,PE,0,0,0,38.5
2026-06-05,2026-07-28,980.0,CE,0,0,0,107.35
2026-06-05,2026-07-28,980.0,PE,0,0,0,50.5
2026-06-05,2026-07-28,990.0,CE,0,0,0,78.85
2026-06-05,2026-07-28,990.0,PE,0,0,0,46.9
2026-06-05,2026-07-28,1000.0,CE,26000,1000,3,39.0
2026-06-05,2026-07-28,1000.0,PE,3000,1000,1,53.0
2026-06-05,2026-07-28,1010.0,CE,0,0,0,68.45
2026-06-05,2026-07-28,1010.0,PE,0,0,0,56.3
2026-06-05,2026-07-28,1020.0,CE,0,0,0,86.1
2026-06-05,2026-07-28,1020.0,PE,0,0,0,68.65
2026-06-05,2026-07-28,1030.0,CE,0,0,0,59.05
2026-06-05,2026-07-28,1030.0,PE,0,0,0,66.65
2026-06-05,2026-07-28,1040.0,CE,0,0,0,76.65
