date,expiry,strike,opt_type,oi,chg_oi,volume,close
2026-06-11,2026-06-30,1000.0,CE,2250,0,0,434.8
2026-06-11,2026-06-30,1000.0,PE,21375,-3000,113,0.4
2026-06-11,2026-06-30,1040.0,CE,10125,0,0,395.65
2026-06-11,2026-06-30,1040.0,PE,33375,6000,929,0.6
2026-06-11,2026-06-30,1060.0,PE,1875,0,0,1.35
2026-06-11,2026-06-30,1100.0,CE,26625,0,0,336.6
2026-06-11,2026-06-30,1100.0,PE,43875,-3000,39,1.0
2026-06-11,2026-06-30,1120.0,CE,4500,0,0,293.55
2026-06-11,2026-06-30,1120.0,PE,15750,-1875,24,1.2
2026-06-11,2026-06-30,1140.0,PE,21750,0,0,5.0
2026-06-11,2026-06-30,1160.0,CE,6375,0,0,283.25
2026-06-11,2026-06-30,1160.0,PE,25125,-375,4,1.45
2026-06-11,2026-06-30,1180.0,PE,25125,-63000,282,3.15
2026-06-11,2026-06-30,1200.0,CE,21000,0,0,203.95
2026-06-11,2026-06-30,1200.0,PE,111375,9000,227,3.75
2026-06-11,2026-06-30,1220.0,CE,375,0,0,215.1
2026-06-11,2026-06-30,1220.0,PE,31500,3375,63,5.0
2026-06-11,2026-06-30,1240.0,CE,3375,0,0,191.2
2026-06-11,2026-06-30,1240.0,PE,70125,5625,110,6.0
2026-06-11,2026-06-30,1260.0,CE,15750,0,0,163.9
2026-06-11,2026-06-30,1260.0,PE,73500,9750,142,8.1
2026-06-11,2026-06-30,1280.0,CE,10875,-1500,4,124.0
2026-06-11,2026-06-30,1280.0,PE,71250,13500,821,11.0
2026-06-11,2026-06-30,1300.0,CE,84000,-1500,27,105.35
2026-06-11,2026-06-30,1300.0,PE,372750,48000,1272,14.6
2026-06-11,2026-06-30,1320.0,CE,25125,375,21,90.15
2026-06-11,2026-06-30,1320.0,PE,471750,31500,466,18.95
2026-06-11,2026-06-30,1340.0,CE,29250,19500,166,79.7
2026-06-11,2026-06-30,1340.0,PE,216375,-21375,886,24.75
2026-06-11,2026-06-30,1360.0,CE,133125,5250,531,64.25
2026-06-11,2026-06-30,1360.0,PE,221250,61500,1870,31.7
2026-06-11,2026-06-30,1380.0,CE,239625,95625,1246,54.05
2026-06-11,2026-06-30,1380.0,PE,154125,12750,1008,39.75
2026-06-11,2026-06-30,1400.0,CE,1101000,26625,2816,44.2
2026-06-11,2026-06-30,1400.0,PE,519000,-50625,1550,49.65
2026-06-11,2026-06-30,1420.0,CE,737250,-12000,1242,35.3
2026-06-11,2026-06-30,1420.0,PE,274125,-63000,970,60.8
2026-06-11,2026-06-30,1440.0,CE,991125,9375,1557,28.25
2026-06-11,2026-06-30,1440.0,PE,298875,-8250,187,74.5
2026-06-11,2026-06-30,1460.0,CE,591375,-61125,1763,22.6
2026-06-11,2026-06-30,1460.0,PE,214875,-2625,76,87.15
2026-06-11,2026-06-30,1480.0,CE,331875,24750,1080,18.05
2026-06-11,2026-06-30,1480.0,PE,284250,-4875,24,102.85
2026-06-11,2026-06-30,1500.0,CE,1023375,73875,2292,14.05
2026-06-11,2026-06-30,1500.0,PE,188625,-3750,51,117.5
2026-06-11,2026-06-30,1520.0,CE,291000,1875,519,11.3
2026-06-11,2026-06-30,1520.0,PE,94500,0,0,129.4
2026-06-11,2026-06-30,1540.0,CE,384375,-7500,408,8.75
2026-06-11,2026-06-30,1540.0,PE,100500,0,0,127.55
2026-06-11,2026-06-30,1560.0,CE,242250,750,327,7.1
2026-06-11,2026-06-30,1560.0,PE,79500,0,0,162.95
2026-06-11,2026-06-30,1580.0,CE,142500,13875,239,5.85
2026-06-11,2026-06-30,1580.0,PE,13500,0,0,109.1
2026-06-11,2026-06-30,1600.0,CE,588750,13875,611,4.8
2026-06-11,2026-06-30,1600.0,PE,81750,0,0,196.0
2026-06-11,2026-06-30,1620.0,CE,45750,-15000,69,3.9
2026-06-11,2026-06-30,1620.0,PE,1500,0,0,209.5
2026-06-11,2026-06-30,1640.0,CE,87750,6750,134,3.15
2026-06-11,2026-06-30,1640.0,PE,3750,-1125,3,255.3
2026-06-11,2026-06-30,1660.0,CE,29625,-3750,17,3.15
2026-06-11,2026-06-30,1660.0,PE,0,0,0,297.1
2026-06-11,2026-06-30,1680.0,CE,41250,-10125,46,2.35
2026-06-11,2026-06-30,1680.0,PE,1500,0,0,250.55
2026-06-11,2026-06-30,1700.0,CE,159000,-10500,210,2.0
2026-06-11,2026-06-30,1700.0,PE,3375,0,0,294.7
2026-06-11,2026-06-30,1720.0,CE,0,0,0,5.9
2026-06-11,2026-06-30,1720.0,PE,0,0,0,430.3
2026-06-11,2026-06-30,1740.0,CE,84375,7125,62,1.5
2026-06-11,2026-06-30,1740.0,PE,1125,0,0,329.6
2026-06-11,2026-07-28,960.0,PE,475,0,0,16.7
2026-06-11,2026-07-28,1200.0,PE,19475,950,3,19.35
2026-06-11,2026-07-28,1220.0,CE,0,0,0,242.9
2026-06-11,2026-07-28,1220.0,PE,475,0,0,21.0
2026-06-11,2026-07-28,1240.0,CE,0,0,0,96.0
2026-06-11,2026-07-28,1240.0,PE,475,0,0,23.0
2026-06-11,2026-07-28,1260.0,CE,0,0,0,213.25
2026-06-11,2026-07-28,1260.0,PE,0,0,0,37.55
2026-06-11,2026-07-28,1280.0,CE,0,0,0,80.35
2026-06-11,2026-07-28,1280.0,PE,950,0,0,16.5
2026-06-11,2026-07-28,1300.0,CE,475,475,1,147.55
2026-06-11,2026-07-28,1300.0,PE,62225,25650,104,38.5
2026-06-11,2026-07-28,1320.0,CE,0,0,0,66.85
2026-06-11,2026-07-28,1320.0,PE,475,0,0,22.5
2026-06-11,2026-07-28,1340.0,CE,0,0,0,160.55
2026-06-11,2026-07-28,1340.0,PE,60800,59850,203,53.2
2026-06-11,2026-07-28,1360.0,CE,0,0,0,55.25
2026-06-11,2026-07-28,1360.0,PE,475,0,0,55.0
2026-06-11,2026-07-28,1380.0,CE,14725,14250,35,90.0
