date,expiry,strike,opt_type,oi,chg_oi,volume,close
2026-06-11,2026-06-30,1060.0,CE,0,0,0,218.8
2026-06-11,2026-06-30,1060.0,PE,70625,-1250,20,0.45
2026-06-11,2026-06-30,1080.0,CE,0,0,0,201.05
2026-06-11,2026-06-30,1080.0,PE,16875,-10000,23,0.5
2026-06-11,2026-06-30,1100.0,CE,625,0,0,179.0
2026-06-11,2026-06-30,1100.0,PE,12500,0,14,0.9
2026-06-11,2026-06-30,1120.0,CE,0,0,0,167.2
2026-06-11,2026-06-30,1120.0,PE,9375,1250,2,1.0
2026-06-11,2026-06-30,1140.0,CE,0,0,0,151.25
2026-06-11,2026-06-30,1140.0,PE,10625,0,0,1.15
2026-06-11,2026-06-30,1150.0,CE,1875,0,0,167.0
2026-06-11,2026-06-30,1150.0,PE,128750,0,17,1.05
2026-06-11,2026-06-30,1160.0,CE,0,0,0,136.05
2026-06-11,2026-06-30,1160.0,PE,49375,-7500,32,1.45
2026-06-11,2026-06-30,1170.0,CE,0,0,0,202.75
2026-06-11,2026-06-30,1170.0,PE,15000,0,0,2.35
2026-06-11,2026-06-30,1180.0,CE,1250,0,0,156.15
2026-06-11,2026-06-30,1180.0,PE,44375,1875,28,2.15
2026-06-11,2026-06-30,1190.0,CE,0,0,0,185.3
2026-06-11,2026-06-30,1190.0,PE,20625,625,30,2.9
2026-06-11,2026-06-30,1200.0,CE,19375,3750,18,79.95
2026-06-11,2026-06-30,1200.0,PE,729375,-7500,270,3.7
2026-06-11,2026-06-30,1210.0,CE,0,0,0,168.4
2026-06-11,2026-06-30,1210.0,PE,51250,0,0,6.25
2026-06-11,2026-06-30,1220.0,CE,15625,625,31,61.95
2026-06-11,2026-06-30,1220.0,PE,131250,6875,141,6.65
2026-06-11,2026-06-30,1230.0,CE,1250,0,0,93.0
2026-06-11,2026-06-30,1230.0,PE,67500,8125,103,8.6
2026-06-11,2026-06-30,1240.0,CE,8125,0,0,46.15
2026-06-11,2026-06-30,1240.0,PE,90000,11875,352,11.25
2026-06-11,2026-06-30,1250.0,CE,36875,11250,64,40.0
2026-06-11,2026-06-30,1250.0,PE,198750,10625,327,13.95
2026-06-11,2026-06-30,1260.0,CE,97500,3125,186,33.65
2026-06-11,2026-06-30,1260.0,PE,243750,5625,369,17.7
2026-06-11,2026-06-30,1270.0,CE,162500,-3125,861,28.3
2026-06-11,2026-06-30,1270.0,PE,153125,7500,619,21.9
2026-06-11,2026-06-30,1280.0,CE,442500,20625,2405,23.5
2026-06-11,2026-06-30,1280.0,PE,177500,15625,652,26.55
