date,expiry,strike,opt_type,oi,chg_oi,volume,close
2026-06-05,2026-06-30,74.0,CE,735750,0,0,18.95
2026-06-05,2026-06-30,74.0,PE,249750,-81000,12,0.08
2026-06-05,2026-06-30,75.0,CE,0,0,0,17.27
2026-06-05,2026-06-30,75.0,PE,0,0,0,0.62
2026-06-05,2026-06-30,76.0,CE,128250,0,0,20.45
2026-06-05,2026-06-30,76.0,PE,351000,-27000,25,0.15
2026-06-05,2026-06-30,77.0,CE,0,0,0,15.55
2026-06-05,2026-06-30,77.0,PE,0,0,0,0.89
2026-06-05,2026-06-30,78.0,CE,33750,-13500,5,15.47
2026-06-05,2026-06-30,78.0,PE,897750,-6750,3,0.18
2026-06-05,2026-06-30,79.0,CE,0,0,0,13.91
2026-06-05,2026-06-30,79.0,PE,0,0,0,1.23
2026-06-05,2026-06-30,80.0,CE,1147500,0,0,16.21
2026-06-05,2026-06-30,80.0,PE,4286250,189000,182,0.2
2026-06-05,2026-06-30,81.0,CE,141750,0,0,13.27
2026-06-05,2026-06-30,81.0,PE,1127250,33750,62,0.23
2026-06-05,2026-06-30,82.0,CE,108000,0,0,10.35
2026-06-05,2026-06-30,82.0,PE,668250,195750,134,0.26
2026-06-05,2026-06-30,83.0,CE,81000,0,0,8.56
2026-06-05,2026-06-30,83.0,PE,857250,-67500,148,0.32
2026-06-05,2026-06-30,84.0,CE,6750,0,0,8.3
2026-06-05,2026-06-30,84.0,PE,526500,60750,162,0.38
2026-06-05,2026-06-30,85.0,CE,1593000,-128250,90,9.17
2026-06-05,2026-06-30,85.0,PE,5987250,945000,751,0.47
2026-06-05,2026-06-30,86.0,CE,94500,0,0,9.82
2026-06-05,2026-06-30,86.0,PE,857250,-54000,192,0.57
2026-06-05,2026-06-30,87.0,CE,445500,20250,5,6.6
2026-06-05,2026-06-30,87.0,PE,1741500,-330750,338,0.74
2026-06-05,2026-06-30,88.0,CE,600750,-20250,43,6.52
2026-06-05,2026-06-30,88.0,PE,1809000,47250,482,0.93
2026-06-05,2026-06-30,89.0,CE,729000,47250,48,5.75
2026-06-05,2026-06-30,89.0,PE,1525500,-108000,428,1.16
2026-06-05,2026-06-30,90.0,CE,4353750,-27000,438,4.9
2026-06-05,2026-06-30,90.0,PE,6648750,-189000,1599,1.42
2026-06-05,2026-06-30,91.0,CE,911250,-168750,180,4.24
2026-06-05,2026-06-30,91.0,PE,3503250,-357750,508,1.75
2026-06-05,2026-06-30,92.0,CE,4819500,432000,772,3.64
2026-06-05,2026-06-30,92.0,PE,2922750,128250,921,2.13
2026-06-05,2026-06-30,93.0,CE,4056750,-816750,1344,3.13
2026-06-05,2026-06-30,93.0,PE,2436750,-317250,1113,2.62
2026-06-05,2026-06-30,94.0,CE,3287250,-587250,1460,2.67
2026-06-05,2026-06-30,94.0,PE,1282500,-162000,827,3.11
2026-06-05,2026-06-30,95.0,CE,12561750,2085750,3206,2.25
2026-06-05,2026-06-30,95.0,PE,3361500,465750,1150,3.75
2026-06-05,2026-06-30,96.0,CE,6594750,715500,1999,1.91
2026-06-05,2026-06-30,96.0,PE,1748250,-13500,264,4.35
2026-06-05,2026-06-30,97.0,CE,5899500,-74250,1297,1.59
2026-06-05,2026-06-30,97.0,PE,1383750,-87750,68,4.98
2026-06-05,2026-06-30,98.0,CE,3199500,54000,1173,1.34
2026-06-05,2026-06-30,98.0,PE,1370250,-13500,7,5.1
2026-06-05,2026-06-30,99.0,CE,5359500,-209250,529,1.14
2026-06-05,2026-06-30,99.0,PE,222750,0,0,5.22
