date,expiry,strike,opt_type,oi,chg_oi,volume,close
2026-06-05,2026-06-30,1100.0,CE,0,0,0,266.4
2026-06-05,2026-06-30,1100.0,PE,24500,24500,63,0.85
2026-06-05,2026-06-30,1120.0,CE,636500,0,13,180.0
2026-06-05,2026-06-30,1120.0,PE,829000,-7000,334,1.05
2026-06-05,2026-06-30,1140.0,CE,3500,0,0,221.4
2026-06-05,2026-06-30,1140.0,PE,272500,45000,446,1.4
2026-06-05,2026-06-30,1160.0,CE,21000,0,0,204.9
2026-06-05,2026-06-30,1160.0,PE,423000,28000,562,2.2
2026-06-05,2026-06-30,1180.0,CE,9000,0,0,135.15
2026-06-05,2026-06-30,1180.0,PE,671000,51500,1121,3.3
2026-06-05,2026-06-30,1190.0,CE,0,0,0,215.0
2026-06-05,2026-06-30,1190.0,PE,142500,94000,660,4.25
2026-06-05,2026-06-30,1200.0,CE,353000,58000,296,105.85
2026-06-05,2026-06-30,1200.0,PE,2301000,285500,2918,5.2
2026-06-05,2026-06-30,1210.0,CE,0,0,0,196.95
2026-06-05,2026-06-30,1210.0,PE,246000,33000,288,6.4
2026-06-05,2026-06-30,1220.0,CE,153000,2000,24,91.6
2026-06-05,2026-06-30,1220.0,PE,848500,112500,1094,7.9
2026-06-05,2026-06-30,1230.0,CE,215500,0,65,83.2
2026-06-05,2026-06-30,1230.0,PE,1145500,115000,1008,9.65
2026-06-05,2026-06-30,1240.0,CE,86000,41000,155,72.7
2026-06-05,2026-06-30,1240.0,PE,820500,52000,1382,11.75
2026-06-05,2026-06-30,1250.0,CE,688500,36000,472,65.45
2026-06-05,2026-06-30,1250.0,PE,1847500,145500,2641,14.35
2026-06-05,2026-06-30,1260.0,CE,181000,51500,603,58.45
2026-06-05,2026-06-30,1260.0,PE,1430000,95000,2314,17.25
2026-06-05,2026-06-30,1270.0,CE,291000,29000,643,51.9
2026-06-05,2026-06-30,1270.0,PE,728000,117000,2225,20.7
2026-06-05,2026-06-30,1280.0,CE,602000,339000,2497,45.95
2026-06-05,2026-06-30,1280.0,PE,1349500,42500,4284,24.65
2026-06-05,2026-06-30,1290.0,CE,751000,419000,4456,40.4
2026-06-05,2026-06-30,1290.0,PE,1332500,147500,3524,29.2
2026-06-05,2026-06-30,1300.0,CE,5681000,1305000,16416,35.45
2026-06-05,2026-06-30,1300.0,PE,4794000,439000,10935,33.9
2026-06-05,2026-06-30,1310.0,CE,1678000,166500,7145,30.65
2026-06-05,2026-06-30,1310.0,PE,964500,33000,2932,39.35
2026-06-05,2026-06-30,1320.0,CE,2846500,112500,7533,26.5
2026-06-05,2026-06-30,1320.0,PE,1518000,71000,2486,45.2
2026-06-05,2026-06-30,1330.0,CE,2289500,55000,4570,22.75
2026-06-05,2026-06-30,1330.0,PE,1303000,5000,687,51.4
2026-06-05,2026-06-30,1340.0,CE,2830500,91500,4732,19.5
2026-06-05,2026-06-30,1340.0,PE,1485500,-4000,311,57.75
2026-06-05,2026-06-30,1350.0,CE,6949000,571000,8173,16.7
2026-06-05,2026-06-30,1350.0,PE,3012000,-17000,569,64.6
2026-06-05,2026-06-30,1360.0,CE,4403000,160000,4219,14.05
2026-06-05,2026-06-30,1360.0,PE,2742500,-10500,238,72.3
2026-06-05,2026-06-30,1370.0,CE,3261000,47500,2222,11.95
2026-06-05,2026-06-30,1370.0,PE,2175000,-2500,96,80.2
2026-06-05,2026-06-30,1380.0,CE,3474000,120000,3577,10.1
2026-06-05,2026-06-30,1380.0,PE,1253000,-4500,97,87.9
2026-06-05,2026-06-30,1390.0,CE,1084000,59000,1407,8.6
2026-06-05,2026-06-30,1390.0,PE,374000,4500,56,95.65
2026-06-05,2026-06-30,1400.0,CE,10053000,338500,10646,7.3
2026-06-05,2026-06-30,1400.0,PE,2125500,16500,210,105.55
2026-06-05,2026-06-30,1410.0,CE,822500,51500,1015,6.2
2026-06-05,2026-06-30,1410.0,PE,119000,500,7,114.05
2026-06-05,2026-06-30,1420.0,CE,1433500,105000,1372,5.25
2026-06-05,2026-06-30,1420.0,PE,435000,9000,37,124.0
2026-06-05,2026-06-30,1430.0,CE,786000,47000,759,4.45
2026-06-05,2026-06-30,1430.0,PE,102500,0,0,113.5
2026-06-05,2026-06-30,1440.0,CE,1069000,63000,788,3.8
2026-06-05,2026-06-30,1440.0,PE,187000,30500,71,140.0
2026-06-05,2026-06-30,1450.0,CE,2857500,5500,2042,3.35
